Event_Time_IST,Login_Name,Database_User,Database_Name,Host_Name,Application_Name,Session_ID,SQL_Text
08-09-2026 14:23,INFRA\bbmpuser2,INFRA\bbmpuser2,ekhata,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,68,[dbo].[USP_Sch_GetPendingKRSID]
08-09-2026 13:00,INFRA\bbmpuser2,INFRA\bbmpuser2,ekhata,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,79,"   UPDATE [ekhata].[dbo].KRS_Dimension_IrregularShape   SET --DIS_side_facing_len_sqft = '115.48',	-- East(35.20 meters)   --DIS_side_facing_len_sqft = '138.05',	-- West(42.08 meters)   --DIS_side_facing_len_sqft = '80.70',	-- North(24.60 meters)   DIS_side_facing_len_sqft = '108.26',	-- South(33.00 meters)   DIS_AdditionalInfo = 'EMAIL: Updated dimensions as per department email received on 3rd Sep 2026',    DIS_UDte = getdate()   WHERE DIS_KRS_Id = 273698 and DIS_id = 22038"
08-09-2026 12:59,INFRA\bbmpuser2,INFRA\bbmpuser2,ekhata,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,79,"   UPDATE [ekhata].[dbo].KRS_Dimension_IrregularShape   SET --DIS_side_facing_len_sqft = '115.48',	-- East(35.20 meters)   --DIS_side_facing_len_sqft = '138.05',	-- West(42.08 meters)   DIS_side_facing_len_sqft = '80.70',	-- North(24.60 meters)   --DIS_side_facing_len_sqft = '108.26',	-- South(33.00 meters)   DIS_AdditionalInfo = 'EMAIL: Updated dimensions as per department email received on 3rd Sep 2026',    DIS_UDte = getdate()   WHERE DIS_KRS_Id = 273698 and DIS_id = 22037"
08-09-2026 12:59,INFRA\bbmpuser2,INFRA\bbmpuser2,ekhata,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,79,"   UPDATE [ekhata].[dbo].KRS_Dimension_IrregularShape   SET --DIS_side_facing_len_sqft = '115.48',	-- East(35.20 meters)   DIS_side_facing_len_sqft = '138.05',	-- West(42.08 meters)   --DIS_side_facing_len_sqft = '80.70',	-- North(24.60 meters)   --DIS_side_facing_len_sqft = '108.26',	-- South(33.00 meters)   DIS_AdditionalInfo = 'EMAIL: Updated dimensions as per department email received on 3rd Sep 2026',    DIS_UDte = getdate()   WHERE DIS_KRS_Id = 273698 and DIS_id = 22036"
08-09-2026 12:58,INFRA\bbmpuser2,INFRA\bbmpuser2,ekhata,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,79,"   UPDATE [ekhata].[dbo].KRS_Dimension_IrregularShape   SET DIS_side_facing_len_sqft = '115.48',	-- East(35.20 meters)   --DIS_side_facing_len_sqft = '138.05',	-- West(42.08 meters)   --DIS_side_facing_len_sqft = '80.70',	-- North(24.60 meters)   --DIS_side_facing_len_sqft = '108.26',	-- South(33.00 meters)   DIS_AdditionalInfo = 'EMAIL: Updated dimensions as per department email received on 3rd Sep 2026',    DIS_UDte = getdate()   WHERE DIS_KRS_Id = 273698 and DIS_id = 22035"
08-09-2026 12:00,INFRA\bbmpuser2,INFRA\bbmpuser2,KhataBtoA_prod,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,85,sp_helptext  USP_S_GetCitizenStatusData
08-09-2026 12:00,INFRA\bbmpuser2,INFRA\bbmpuser2,KhataBtoA_prod,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,85,"exec master.dbo.sp_sproc_columns @procedure_name = N'sp_helptext ', @procedure_owner = null, @procedure_qualifier = N'master'"
08-09-2026 12:00,INFRA\bbmpuser2,INFRA\bbmpuser2,KhataBtoA_prod,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,85,"exec dbo.sp_sproc_columns @procedure_name = N'sp_helptext ', @procedure_owner = null, @procedure_qualifier = N'KhataBtoA_prod'"
08-09-2026 09:48,INFRA\bbmpuser2,INFRA\bbmpuser2,SiteBifurcation_old_16102025,BBMP-DB-VP-15,Microsoft SQL Server Management Studio - Query,76,drop  table [dbo].[MasterHistoryXXXXnn]
